,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,brand,model
132,851000,29000,Petrol,Auto,1,2020,1198,5,Tata,Nexon 1.2
133,2750000,12200,Diesel,Auto,1,2021,1956,5,Jeep,Compass Model
134,550000,40000,Petrol,Auto,3,2019,1197,5,Hyundai,Grand i10
135,951000,58000,Diesel,Man,1,2018,1582,5,Hyundai,Verna CRDi
136,1990000,75000,Diesel,Auto,2,2019,2755,7,Toyota,Innova Crysta
137,3550000,72000,Diesel,Auto,1,2018,1999,7,Land,Rover Discovery
138,550000,23400,Petrol,Man,1,2017,1196,5,Ford,Aspire 1.2
139,390000,59300,Petrol,Man,1,2017,1196,5,Ford,Aspire 1.2
140,890000,72000,Diesel,Man,1,2016,1396,5,Hyundai,Creta 1.4
141,451000,67000,Diesel,Man,1,2017,1248,5,Maruti,Swift Dzire
142,725000,33500,Petrol,Auto,1,2018,1199,5,Honda,Amaze S
143,1275000,17000,Petrol,Man,2,2021,1497,5,Hyundai,Creta SX
144,690000,33000,Diesel,Auto,1,2016,1498,5,Volkswagen,Ameo 1.5
145,675000,49000,Petrol,Auto,1,2015,1197,5,Volkswagen,Polo GT
146,565000,26000,Petrol,Auto,1,2015,1197,5,Hyundai,Grand i10
147,1000000,14500,Petrol,Man,1,2020,998,5,Hyundai,Venue SX
148,1975000,10000,Diesel,Auto,1,2022,1493,5,Kia,Seltos GTX
149,1700000,15001,Petrol,Auto,1,2020,1451,6,MG,Hector Plus
150,975000,55000,Petrol,Auto,2,2015,1798,5,Skoda,Octavia Elegance
151,650000,38000,Petrol,Man,1,2013,1798,5,Toyota,Corolla Altis
152,400000,110000,Diesel,Man,2,2005,2953,7,Ford,Endeavour 4x4
153,475000,65413,Petrol,Auto,1,2013,1198,5,Honda,Amaze S
154,280000,45000,Petrol,Man,2,2009,1198,5,Honda,Jazz Mode
155,430000,44000,Petrol,Man,1,2017,1196,5,Ford,Figo 1.2P
156,490000,40000,Petrol,Man,1,2017,1197,5,Hyundai,Grand i10
157,651000,49000,Petrol,Auto,1,2016,1496,5,Ford,Ecosport 1.5
158,1751000,19000,Diesel,Auto,1,2022,2184,4,Mahindra,Thar LX
159,391000,56000,Diesel,Man,2,2013,1396,5,Hyundai,i20 Magna
